date,adm2_id,ADM2_PCODE,n_pixels,rfh,rfh_avg,r1h,r1h_avg,r3h,r3h_avg,rfq,r1q,r3q,version
#date,#adm2+id,#adm2+code,#indicator+n_pixels+num,#indicator+rfh+num,#indicator+rfh_avg+num,#indicator+r1h+num,#indicator+r1h_avg+num,#indicator+r3h+num,#indicator+r3h_avg+num,#indicator+rfq+pct,#indicator+r1q+pct,#indicator+r3q+pct,#status
2020-01-01,1006313,KH1202,1.0,2.0,3.6667,6.0,27.6,187.0,344.0,80.7692,42.5532,55.6497,final
2020-01-11,1006313,KH1202,1.0,1.0,1.7667,5.0,14.5,120.0,253.0667,88.67,61.2245,49.4171,final
2020-01-21,1006313,KH1202,1.0,1.0,2.0667,4.0,7.5,73.0,172.4333,84.9057,80.0,45.4961,final
2020-02-01,1006313,KH1202,1.0,1.0,2.1,3.0,5.9333,22.0,127.4,84.507,81.59,23.2897,final
2020-02-11,1006313,KH1202,1.0,2.0,3.1333,4.0,7.3,19.0,89.9333,86.0656,80.9249,29.0193,final
2020-02-21,1006313,KH1202,1.0,2.0,3.6,5.0,8.8333,15.0,60.2333,81.3953,79.646,35.5956,final
2020-03-01,1006313,KH1202,1.0,5.0,8.9,9.0,15.6333,18.0,49.1667,71.9424,74.1222,47.3239,final
2020-03-11,1006313,KH1202,1.0,5.0,14.9667,12.0,27.4667,21.0,49.2667,50.0835,58.7189,52.306,final
2020-03-21,1006313,KH1202,1.0,3.0,22.3667,13.0,46.2333,22.0,62.5667,29.2326,40.901,44.0974,final
2020-04-01,1006313,KH1202,1.0,16.0,23.9667,24.0,61.3,36.0,82.8667,72.4971,47.6858,49.5334,final
2020-04-11,1006313,KH1202,1.0,55.0,24.8333,74.0,71.1667,90.0,105.9333,201.1173,103.4908,86.2565,final
2020-04-21,1006313,KH1202,1.0,41.0,40.9,112.0,89.7,130.0,144.7667,100.2179,122.3671,90.4588,final
2020-05-01,1006313,KH1202,1.0,4.0,34.1667,100.0,99.9,133.0,176.8333,22.9787,100.091,76.5388,final
2020-05-11,1006313,KH1202,1.0,30.0,52.2,75.0,127.2667,161.0,225.9,61.1888,61.9233,72.4883,final
2020-05-21,1006313,KH1202,1.0,63.0,60.7667,97.0,147.1333,222.0,283.0667,103.3958,68.095,79.1629,final
2020-06-01,1006313,KH1202,1.0,43.0,50.8,136.0,163.7667,260.0,324.9667,86.0215,84.0207,80.605,final
2020-06-11,1006313,KH1202,1.0,110.0,51.1,216.0,162.6667,365.0,361.1,204.9911,130.888,101.0509,final
2020-06-21,1006313,KH1202,1.0,50.0,52.9667,203.0,154.8667,412.0,391.7,94.8821,129.1953,105.0535,final
2020-07-01,1006313,KH1202,1.0,28.0,55.4333,188.0,159.5,424.0,423.1667,54.6056,116.8142,100.1924,final
2020-07-11,1006313,KH1202,1.0,36.0,53.4667,114.0,161.8667,405.0,451.8,70.1254,72.149,89.8657,final
2020-07-21,1006313,KH1202,1.0,57.0,68.5,121.0,177.4,421.0,479.4,84.3537,69.9039,88.067,final
2020-08-01,1006313,KH1202,1.0,36.0,47.9,129.0,169.8667,453.0,493.1333,77.5047,77.2795,92.0233,final
2020-08-11,1006313,KH1202,1.0,40.0,51.4,133.0,167.8,463.0,492.3333,79.7872,80.4274,94.1606,final
2020-08-21,1006313,KH1202,1.0,25.0,63.0,101.0,162.3,425.0,494.5667,44.1176,64.4225,86.2126,final
2020-09-01,1006313,KH1202,1.0,79.0,66.8667,144.0,181.2667,461.0,510.6333,116.8831,80.5159,90.4667,final
2020-09-11,1006313,KH1202,1.0,133.0,79.2667,237.0,209.1333,484.0,538.8,163.7658,112.7168,90.0146,final
2020-09-21,1006313,KH1202,1.0,84.0,76.7667,296.0,222.9,518.0,562.6,108.8463,131.3869,92.211,final
2020-10-01,1006313,KH1202,1.0,150.0,100.2,367.0,256.2333,640.0,607.3667,147.3384,141.6051,105.2859,final
2020-10-11,1006313,KH1202,1.0,157.0,92.7,391.0,269.6667,761.0,646.6,165.8137,143.385,117.4231,final
2020-10-21,1006313,KH1202,1.0,123.0,82.7,430.0,275.6,827.0,660.8,145.9521,154.0616,124.7764,final
2020-11-01,1006313,KH1202,1.0,24.0,47.1333,304.0,222.5333,815.0,660.0333,55.6266,135.0344,123.1282,final
2020-11-11,1006313,KH1202,1.0,21.0,40.6,168.0,170.4333,796.0,649.2333,57.0175,98.6514,122.2632,final
2020-11-21,1006313,KH1202,1.0,22.0,33.3,67.0,121.0333,793.0,619.5333,70.4961,58.7637,127.5548,final
2020-12-01,1006313,KH1202,1.0,8.0,19.9667,51.0,93.8667,722.0,572.6333,52.0694,58.7291,125.6365,final
2020-12-11,1006313,KH1202,1.0,31.0,14.8667,61.0,68.1333,620.0,508.2333,181.2081,90.8703,121.5669,final
2020-12-21,1006313,KH1202,1.0,20.0,9.0667,59.0,43.9,556.0,440.5333,177.7251,128.0148,125.6289,final
2021-01-01,1006313,KH1202,1.0,3.0,3.6667,54.0,27.6,409.0,344.0,92.3077,170.2128,118.3616,final
2021-01-11,1006313,KH1202,1.0,0.0,1.7667,23.0,14.5,252.0,253.0667,73.8916,134.6939,99.5945,final
2021-01-21,1006313,KH1202,1.0,1.0,2.0667,4.0,7.5,130.0,172.4333,84.9057,80.0,76.7404,final
2021-02-01,1006313,KH1202,1.0,4.0,2.1,5.0,5.9333,110.0,127.4,126.7606,94.1423,87.3362,final
2021-02-11,1006313,KH1202,1.0,3.0,3.1333,8.0,7.3,92.0,89.9333,98.3607,104.0462,102.068,final
2021-02-21,1006313,KH1202,1.0,3.0,3.6,10.0,8.8333,73.0,60.2333,93.0233,106.1947,118.1775,final
2021-03-01,1006313,KH1202,1.0,4.0,8.9,10.0,15.6333,69.0,49.1667,64.7482,78.0234,133.5211,final
2021-03-11,1006313,KH1202,1.0,2.0,14.9667,9.0,27.4667,40.0,49.2667,35.0584,50.7117,84.3645,final
2021-03-21,1006313,KH1202,1.0,8.0,22.3667,14.0,46.2333,28.0,62.5667,47.503,42.6793,52.3656,final
2021-04-01,1006313,KH1202,1.0,54.0,23.9667,64.0,61.3,79.0,82.8667,203.6824,103.7868,95.8363,final
2021-04-11,1006313,KH1202,1.0,64.0,24.8333,126.0,71.1667,143.0,105.9333,231.2849,167.5565,131.9724,final
2021-04-21,1006313,KH1202,1.0,86.0,40.9,204.0,89.7,228.0,144.7667,198.2571,214.6439,153.7799,final
2021-05-01,1006313,KH1202,1.0,22.0,34.1667,172.0,99.9,246.0,176.8333,68.9362,165.6051,137.0205,final
2021-05-11,1006313,KH1202,1.0,38.0,52.2,146.0,127.2667,281.0,225.9,75.1748,113.6474,123.3574,final
2021-05-21,1006313,KH1202,1.0,86.0,60.7667,146.0,147.1333,364.0,283.0667,138.368,99.2787,127.616,final
2021-06-01,1006313,KH1202,1.0,54.0,50.8,178.0,163.7667,414.0,324.9667,105.7348,108.1911,126.5798,final
2021-06-11,1006313,KH1202,1.0,49.0,51.1,189.0,162.6667,461.0,361.1,96.2567,115.251,126.92,final
2021-06-21,1006313,KH1202,1.0,25.0,52.9667,128.0,154.8667,478.0,391.7,51.7539,83.704,121.4837,final
2021-07-01,1006313,KH1202,1.0,53.0,55.4333,127.0,159.5,477.0,423.1667,95.9735,80.826,112.4279,final
2021-07-11,1006313,KH1202,1.0,86.0,53.4667,164.0,161.8667,499.0,451.8,155.6442,101.2413,110.2209,final
2021-07-21,1006313,KH1202,1.0,40.0,68.5,179.0,177.4,453.0,479.4,61.2245,100.8538,94.6056,final
2021-08-01,1006313,KH1202,1.0,36.0,47.9,162.0,169.8667,467.0,493.1333,77.5047,95.6264,94.8059,final
2021-08-11,1006313,KH1202,1.0,61.0,51.4,137.0,167.8,490.0,492.3333,117.0213,82.6772,99.5355,final
2021-08-21,1006313,KH1202,1.0,96.0,63.0,193.0,162.3,500.0,494.5667,148.5294,117.8178,101.0768,final
2021-09-01,1006313,KH1202,1.0,126.0,66.8667,283.0,181.2667,572.0,510.6333,182.282,153.1893,111.7869,final
2021-09-11,1006313,KH1202,1.0,82.0,79.2667,304.0,209.1333,605.0,538.8,103.2437,143.2918,112.0627,final
2021-09-21,1006313,KH1202,1.0,89.0,76.7667,297.0,222.9,669.0,562.6,114.9613,131.8162,118.5819,final
2021-10-01,1006313,KH1202,1.0,114.0,100.2,285.0,256.2333,730.0,607.3667,113.1179,110.8051,119.8639,final
2021-10-11,1006313,KH1202,1.0,106.0,92.7,309.0,269.6667,750.0,646.6,113.6131,114.0644,115.7478,final
2021-10-21,1006313,KH1202,1.0,108.0,82.7,328.0,275.6,818.0,660.8,128.8483,118.3473,123.4347,final
2021-11-01,1006313,KH1202,1.0,92.0,47.1333,306.0,222.5333,874.0,660.0333,186.0614,135.8945,131.9337,final
2021-11-11,1006313,KH1202,1.0,95.0,40.6,295.0,170.4333,908.0,649.2333,219.2982,169.0375,139.2527,final
2021-11-21,1006313,KH1202,1.0,46.0,33.3,233.0,121.0333,858.0,619.5333,133.1593,185.449,137.8799,final
2021-12-01,1006313,KH1202,1.0,5.0,19.9667,146.0,93.8667,737.0,572.6333,40.0534,150.1926,128.211,final
2021-12-11,1006313,KH1202,1.0,3.0,14.8667,54.0,68.1333,658.0,508.2333,40.2685,81.9113,128.8995,final
2021-12-21,1006313,KH1202,1.0,17.0,9.0667,25.0,43.9,586.0,440.5333,156.3981,64.9351,132.2877,final
2022-01-01,1006313,KH1202,1.0,1.0,3.6667,21.0,27.6,473.0,344.0,69.2308,82.4468,136.4407,final
2022-01-11,1006313,KH1202,1.0,1.0,1.7667,19.0,14.5,368.0,253.0667,88.67,118.3673,143.6898,final
2022-01-21,1006313,KH1202,1.0,1.0,2.0667,3.0,7.5,261.0,172.4333,84.9057,74.2857,148.5474,final
2022-02-01,1006313,KH1202,1.0,2.0,2.1,4.0,5.9333,171.0,127.4,98.5915,87.8661,131.7322,final
2022-02-11,1006313,KH1202,1.0,9.0,3.1333,12.0,7.3,85.0,89.9333,172.1311,127.1676,95.0634,final
2022-02-21,1006313,KH1202,1.0,5.0,3.6,16.0,8.8333,44.0,60.2333,116.2791,138.0531,76.8866,final
2022-03-01,1006313,KH1202,1.0,6.0,8.9,20.0,15.6333,45.0,49.1667,79.1367,117.0351,92.9577,final
2022-03-11,1006313,KH1202,1.0,30.0,14.9667,41.0,27.4667,72.0,49.2667,175.2922,136.121,138.3577,final
